Sample_ID,Product,Modality,Skilling,Course[Course ID],Course[Course Title],Course[Url],Course[CourseDuration],Course[Modality],Course[CourseKey],Course[Is Active],Course[Credit Hours],Course[Description],Course[CreateDate],Course[Hosted Training Organization],Course[SourceSystem],Skill,Skill_Category,Sub_Category,Content_Level,Skill_Level,Course_Hours,Detected_Language
79,Prompt Engineering,Online Course,First Look: Claude Opus 5,PSL133641.00,First Look: Claude Opus 5,https://app.pluralsight.com/sso/microsoft.com?returnUrl=/library/courses/claude-opus-5-first-look,20m,Online Course,1280232,Yes,,"New model releases come with big claims, but it's hard to know what actually changes for your workflow until you test it yourself. In this course, First Look: Claude Opus 5, you'll learn to evaluate Opus 5's real-world performance, cost, and safety profile, and adjust your prompting to get the most out of it.

First, you'll explore how Opus 5 stacks up on benchmarks and against competing models, and what independent testing reveals about its actual speed and cost compared to Fable 5 and Opus 4.8. Next, you'll discover the prompting adjustments Opus 5 needs, including task scoping, verbosity control, delegation limits, and self-verification behavior, so you can tune it for your use case. Finally, you'll learn how Opus 5 performs on vision tasks and long-context scenarios, and what its safety profile and cybersecurity restrictions mean for how you deploy it.

When you're finished with this course, you'll have the skills and knowledge of Opus 5's strengths, tradeoffs, and prompting needs required to decide when it's the right model for your work.",7/31/2026 12:00:00 AM,EMLI,PLURALSIGHT,Prompt Engineering,Technical Skills,AI & ML Technologies,Beginner,L100,0.3333333333333333,en
80,Prompt Engineering,Online Course,OpenAI: Prompt Engineering,PSL48958.00,OpenAI: Prompt Engineering,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/openai-prompt-engineering,,Online Course,1289024,Yes,,"Generative AI enhances worker productivity and has changed how businesses operate. However, the output of an LLM is only as good as the prompt it receives. In this course, OpenAI: Prompt Engineering, you’ll learn by example how to design and create effective prompts that help the LLM to produce improved outputs. First, you’ll explore what prompt engineering is as well as learn how to navigate the prompt console. Next, you’ll discover best practices for prompting, how to write better prompts, and will learn about other advanced features. Finally, you’ll learn about the limitations you may face when working with an LLM, like the context window. When you’re finished with this course, you’ll have the skills and knowledge of prompt engineering needed to craft effective prompts that will produce the desired outputs from OpenAI’s ChatGPT 4.",3/28/2024 12:00:00 AM,EMLI,PLURALSIGHT,Prompt Engineering,Technical Skills,AI & ML Technologies,Proficient,L300,,en
81,RAG,LearningPath,Dragon Medical One Training for DAX Consultants (PR.DAX012),8893,Dragon Medical One Training for DAX Consultants (PR.DAX012),https://learningpath.microsoft.com/8893,,LearningPath,980288,Yes,,"The courses bundled in this program are designed to provide a DAX Consultant with all the necessary tools to use, and advise providers to effectively use, Dragon Medial One. The first four courses are required. It is also advised to watch the Integrated Learning within the Dragon Medical One application. The remaining courses in this program are marked optional and provide additional resources that you may find useful.",5/6/2024 12:00:00 AM,Nuance,LearningAdminCentral,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,,en
82,RAG,Online Course,AKS - Foundational - AKS Storage,S9225824,AKS - Foundational - AKS Storage,https://learningplayer.microsoft.com/activity/S9225824/launch,2h,Online Course,1625799,Yes,2.0,This session provides engineers information on storage options in AKS and some details about troubleshooting problems with storage.,2/16/2022 12:00:00 AM,World Wide Readiness,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Proficient,L300,2.0,en
83,RAG,Online Course,Carbon Capture and Storage Industry Primer,S9307626,Carbon Capture and Storage Industry Primer,https://learningplayer.microsoft.com/activity/S9307626/launch,40m,Online Course,1673362,Yes,0.6700000166893005,"Carbon dioxide emissions aren’t stopping anytime soon—and that’s a problem. By 2050, even under the best-case scenarios, we’ll still be pumping billions of tons of CO₂ into the air each year. To reach net zero, we’ll need to remove as much carbon as we emit. That’s where Carbon Capture and Storage (CCS) comes in. This course explains how CCS works: -How carbon is captured -How it’s transported and stored -The incentives driving adoption -And the real-world economics that could make or break it By the end, you'll understand the value chain, policy landscape, and technological frontiers shaping one of the most debated climate tools of our time.",10/24/2025 12:00:00 AM,MCAPS Academy,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,0.6666666666666666,en
84,RAG,Online Course,Configuring and Managing Kubernetes Storage and Scheduling,PSL1437592530.00,Configuring and Managing Kubernetes Storage and Scheduling,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/configuring-managing-kubernetes-storage-scheduling,,Online Course,1281116,Yes,," At the core of being a Kubernetes Administrator is a thorough knowledge of storage, Pod configuration, and Pod Scheduling. In this course, Configuring and Managing Kubernetes Storage and Scheduling, you will take a deep dive into these cluster administration topics. First, you will learn how to configure persistent storage for your Pods. Next, you will explore using configuration as data to configure your Pod-based applications. Finally, you will discover how Pod scheduling works and how to influence scheduling in your cluster. When you are finished with this course, you will have a foundational knowledge of storage and scheduling that will help you as you move forward to being a skilled Kubernetes cluster Administrator. This course can also help you prepare for your Certified Kubernetes Administrator (CKA) certification.",1/21/2020 12:00:00 AM,EMLI,PLURALSIGHT,RAG,Technical Skills,AI & ML Technologies,Advanced,L400,,en
85,RAG,Online Course,Data Security Champion: Secure Data Storage,PSL24095.00,Data Security Champion: Secure Data Storage,https://app.pluralsight.com/sso/microsoft?returnUrl=courses/data-sec-champ-secure-data-storage,,Online Course,1286431,Yes,,"Bridge the gap between your existing expertise and essential data security practices.  In this course, Data Security Champion: Secure Data Storage, you'll learn to integrate critical security measures into your data management workflow. First, you'll explore the fundamentals of data masking, anonymization, and tokenization, understanding how these techniques protect sensitive information. Next, you'll discover the implementation of secure data storage practices, focusing on encryption and access controls. Finally, you'll learn how to apply these security concepts effectively within an organizational context, enhancing overall data safety. When you finish this course, you'll have the skills and knowledge of data security needed to manage and responsibly protect critical data assets in your role.",1/11/2024 12:00:00 AM,EMLI,PLURALSIGHT,RAG,Technical Skills,AI & ML Technologies,Intermediate,L200,,en
86,RAG,Online Course,Dynamics CRM Online Services - Licensing- Storage,S2372612,Dynamics CRM Online Services - Licensing- Storage,https://learningplayer.microsoft.com/activity/S2372612/launch,20m,Online Course,1526910,Yes,0.3400000035762787,"This knowledge check will assess your expertise in  Dynamics CRM Online Services - Licensing, Storage",7/5/2018 12:00:00 AM,CSS Learning,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,0.3333333333333333,en
87,RAG,Online Course,Explore Azure Storage for nonrelational data,8A4174DF-2670-4255-8823-5661139BFC60,Explore Azure Storage for nonrelational data,https://learn.microsoft.com/en-us/training/modules/explore-provision-deploy-non-relational-data-services-azure/?WT.mc_id=api_CatalogApi,48m,Online Course,1027548,Yes,,This content is a part of Explore Azure Storage for nonrelational data.,6/29/2020 12:00:00 AM,,MSLearn,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,0.8,en
88,RAG,Online Course,IP Knowledge Assessment: Technical Deep Dive on Hybrid Cloud Storage,S579018,IP Knowledge Assessment: Technical Deep Dive on Hybrid Cloud Storage,https://learningplayer.microsoft.com/activity/S579018/launch,,Online Course,1564125,Yes,,IP Knowledge Assessment: Technical Deep Dive on Hybrid Cloud Storage,3/9/2017 12:00:00 AM,CSS Learning,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Advanced,L400,,en
89,RAG,Online Course,Implement AI capabilities in database solutions,75DD4021-D11F-4987-8FFF-D7ED8BF88624,Implement AI capabilities in database solutions,https://learn.microsoft.com/en-us/training/paths/implement-ai-capabilities-database-solutions/?WT.mc_id=api_CatalogApi,3h 40m,Online Course,1026925,Yes,,"Learn to design intelligent search, work with models and embeddings, and build Retrieval Augmented Generation (RAG) patterns in T-SQL.",2/27/2026 12:00:00 AM,,MSLearn,RAG,Technical Skills,AI & ML Technologies,Proficient,L300,3.6666666666666665,en
90,RAG,Online Course,Implement security for Azure Storage for the cloud and AI security engineer,34D3D7B3-163F-45E6-8E15-A7D83B48C707,Implement security for Azure Storage for the cloud and AI security engineer,https://learn.microsoft.com/en-us/training/paths/implement-azure-storage-security/?WT.mc_id=api_CatalogApi,1h 40m,Online Course,1024948,Yes,,"Implement a defense-in-depth security strategy for Azure Storage. Harden storage accounts, govern access with Microsoft Entra ID and stored access policies, enforce network perimeter controls using firewall rules and private endpoints, and enable Microsoft Defender for Storage to detect threats from malicious uploads and compromised AI agent credentials.",5/19/2026 12:00:00 AM,,MSLearn,RAG,Technical Skills,AI & ML Technologies,Intermediate,L200,1.6666666666666663,en
91,RAG,Online Course,Integrating Knowledge Bases for RAGs,PSL54920.00,Integrating Knowledge Bases for RAGs,https://app.pluralsight.com/sso/microsoft.com?returnUrl=/library/courses/integrating-knowledge-bases-rags,22m,Online Course,1289865,Yes,,"Integrating knowledge bases with retrieval augmented generation (RAG) models can significantly enhance the 
quality and accuracy of information retrieval and generation. 

In this course, Integrating Knowledge Bases for RAGs, you’ll learn to effectively align unstructured text data with structured knowledge bases, incorporate external data sources, and implement advanced knowledge integration techniques.

First, you’ll explore the techniques for aligning and linking unstructured text data with structured knowledge bases. 
Next, you’ll discover methods for incorporating external data sources, such as encyclopedic knowledge, domain-specific databases, and web-scale corpora, into RAG models. 
Finally, you’ll learn how to implement and evaluate knowledge integration approaches, including entity linking, knowledge graph embeddings, and knowledge-guided retrieval. 

When you’re finished with this course, you’ll have the skills and knowledge of integrating knowledge bases with RAG models needed to enhance retrieval and generation capabilities in your projects.",8/30/2024 12:00:00 AM,EMLI,PLURALSIGHT,RAG,Technical Skills,AI & ML Technologies,Proficient,L300,0.3666666666666666,en
92,RAG,Online Course,Know where to leverage AI in your classroom,39D81A4C-7EAB-4F95-8EE8-84127E99A2D3,Know where to leverage AI in your classroom,https://learn.microsoft.com/en-us/training/modules/know-where-leverage-ai-classroom/?WT.mc_id=api_CatalogApi,24m,Online Course,1025100,Yes,,"Classroom teachers, instructional coaches, and administrators learn to use AI in their roles supporting students, teachers, and school systems.",4/3/2026 12:00:00 AM,,MSLearn,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,0.4,en
93,RAG,Online Course,Leveraging Agentic AI in Cloud Computing: Strategy and Tool Optimization,4252079,Leveraging Agentic AI in Cloud Computing: Strategy and Tool Optimization,https://www.linkedin.com/checkpoint/enterprise/login/3322?pathWildcard=3322&application=learning&dApp=223557096&redirect=https%3A%2F%2Fwww%2Elinkedin%2Ecom%2Flearning%2Fleveraging-agentic-ai-in-cloud-computing-strategy-and-tool-optimization%3FdApp%3D223557096%26leis%3DLAA%26u%3D3322,1h 46m,Online Course,1004882,Yes,,"Are you looking to learn more about the promise of AI agent technology in cloud computing? Join instructor David Linthicum as he covers some current use cases as well as future opportunities for leveraging these powerful new systems and tools. Ideal for cloud architects, DevOps engineers, and cloud developers, this course was designed to help boost your understanding of AI, including AI agents, and the intersection with cloud computing. Explore the core concepts and common tools of agentic AI, with examples drawn from real-world applications. David guides you through the process of creating, deploying, managing, and optimizing successful AI agents. Along the way, get recommendations for strategic approaches, advanced tooling techniques, and practical guidance on evaluating agents for performance, impact, and efficiency. By the end of this course, you’ll be equipped with the skills you need to harness the power of agentic AI to drive innovation and value for your organization.",11/14/2024 12:00:00 AM,LIL,LinkedInLearning,RAG,Technical Skills,AI & ML Technologies,Proficient,L300,1.7666666666666666,en
94,RAG,Online Course,SHA - Failover Clustering Foundation - M05  - Storage - Part 1,S8345786,SHA - Failover Clustering Foundation - M05  - Storage - Part 1,https://learningplayer.microsoft.com/activity/S8345786/launch,1h 4m,Online Course,1585958,Yes,1.0800000429153442,SHA - Failover Clustering Foundation - M05  - Storage - Part 1,1/14/2020 12:00:00 AM,CSS Learning,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,1.0666666666666669,en
95,RAG,Online Course,SHA - Failover Clustering Foundation - M05  - Storage - Part 2,S8346124,SHA - Failover Clustering Foundation - M05  - Storage - Part 2,https://learningplayer.microsoft.com/activity/S8346124/launch,1h,Online Course,1585959,Yes,1.0,SHA - Failover Clustering Foundation - M05  - Storage - Part 2,1/14/2020 12:00:00 AM,CSS Learning,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,1.0,en
96,RAG,Online Course,Security and Governance for Azure Blob and Archival Storage,PSL73444.00,Security and Governance for Azure Blob and Archival Storage,https://app.pluralsight.com/sso/microsoft.com?returnUrl=/library/courses/azure-blob-archival-storage-security-governance,1h 2m,Online Course,1292771,Yes,,"Securing Azure Blob Storage while enforcing the industry standards can be challenging. In this course, Security and Governance for Azure Blob and Archival Storage, you’ll learn to implement security and governance best practices. First, you’ll explore implementing key security control for blobs. Next, you’ll discover how to monitor and audit your storage account activity. Finally, you’ll learn how to enforce industry standards and organization requirements using Azure Policy and other governance features. When you’re finished with this course, you’ll have the skills and knowledge of Azure Blob Storage security and governance needed to safely store your organization’s data in Azure.",5/15/2025 12:00:00 AM,EMLI,PLURALSIGHT,RAG,Technical Skills,AI & ML Technologies,Intermediate,L200,1.0333333333333334,en
97,RAG,Online Course,Storage 2019 - Recording (Part 6),S9193289,Storage 2019 - Recording (Part 6),https://learningplayer.microsoft.com/activity/S9193289/launch,54m,Online Course,1590578,Yes,0.9100000262260436,Storage 2019 - Recording (Part 6),3/20/2020 12:00:00 AM,World Wide Readiness,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,0.9,en
98,RAG,Online Course,Storage Foundations - Additional Layers(Part 2),S7179594,Storage Foundations - Additional Layers(Part 2),https://learningplayer.microsoft.com/activity/S7179594/launch,1h,Online Course,1569579,Yes,1.0,Part 2 of the recorded presentation of Module 3 from Storage Foundations 2019: Additional Layers.,9/10/2018 12:00:00 AM,World Wide Readiness,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,1.0,en
99,RAG,Online Course,Storage Foundations - Architecture (Part 2),S7178810,Storage Foundations - Architecture (Part 2),https://learningplayer.microsoft.com/activity/S7178810/launch,1h,Online Course,1569575,Yes,1.0,Part 2 of the recorded presentation of Module 2 from Storage Foundations 2019: Architecture.,9/10/2018 12:00:00 AM,World Wide Readiness,SuccessFactors,RAG,Technical Skills,AI & ML Technologies,Proficient,L300,1.0,en
100,RAG,Online Course,Windows Server file servers and storage management,0D9278E5-0B82-4095-9E0D-A7C588A6897F,Windows Server file servers and storage management,https://learn.microsoft.com/en-us/training/paths/windows-server-file-servers-storage-management/?WT.mc_id=api_CatalogApi,4h 55m,Online Course,1023708,Yes,,Windows Server file servers and storage management,2/5/2021 12:00:00 AM,,MSLearn,RAG,Technical Skills,AI & ML Technologies,Beginner,L100,4.916666666666667,en
