uid,title,learn_url,repository_path,levels,roles,products,subjects,service,source,author,ms_author,ms_date,hidden,inclusion_reasons
learn.wwl.secure-azure-openai-content-safety-controls,Secure Azure OpenAI with content safety controls,https://learn.microsoft.com/training/modules/secure-azure-openai-content-safety-controls/,learn-pr/wwl-azure/secure-azure-openai-content-safety-controls/index.yml,intermediate,security-engineer; administrator; database-administrator; security-operations-analyst; devops-engineer,azure; azure-openai; azure-sdks; microsoft-foundry,security; cloud-security; compliance; information-protection-governance; generative-ai,microsoft-foundry,wwl-azure,wwlpublish,robbarefoot,02/04/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.purview-ai-developer-apps,Secure developer AI environments with Microsoft Purview,https://learn.microsoft.com/training/modules/purview-ai-developer-apps/,learn-pr/wwl-sci/purview-ai-developer-apps/index.yml,intermediate,administrator; developer; auditor,m365; microsoft-purview; entra; microsoft-copilot-studio; fabric; foundry-tools,security; generative-ai; insider-risk; compliance,purview,wwl-sci,wwlpublish,riswinto,08/26/2025,False,Product metadata
learn.wwl.azure-ai-foundry-secure-environment,Secure Microsoft Foundry environments,https://learn.microsoft.com/training/modules/azure-ai-foundry-secure-environment/,learn-pr/wwl-sci/azure-ai-foundry-secure-environment/index.yml,intermediate,security-engineer; developer,azure; microsoft-foundry; defender-for-cloud,security; cloud-security,microsoft-foundry,wwl-sci,wwlpublish,riswinto,10/17/2025,False,Product metadata; Service metadata; Content mention
learn.wwl.secure-multi-agent-systems-azure-zero-trust,Secure multi-agent systems with Azure zero-trust architecture,https://learn.microsoft.com/training/modules/aaai-secure-multi-agent-systems-azure-zero-trust/,learn-pr/wwl-data-ai/aaai-secure-multi-agent-systems-azure-zero-trust/index.yml,advanced,ai-engineer; solution-architect; security-engineer,azure; microsoft-foundry; entra-id,artificial-intelligence; security,microsoft-foundry,wwl-data-ai,petender,petender,8/3/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.model-catalog-evaluate,"Select, deploy, and evaluate Microsoft Foundry models",https://learn.microsoft.com/training/modules/model-catalog-evaluate/,learn-pr/wwl-data-ai/model-catalog-evaluate/index.yml,intermediate,data-scientist; ai-engineer,microsoft-foundry,cloud-computing; artificial-intelligence; machine-learning; natural-language-processing,microsoft-foundry,wwl-data-ai,ivorb,berryivor,04/28/2026,False,Product metadata; Service metadata; Content mention
learn.azure.set-up-mixed-reality-azure-digital-twins-unity,Set up a mixed reality project for Azure Digital Twins in Unity,https://learn.microsoft.com/training/modules/set-up-mixed-reality-azure-digital-twins-unity/,learn-pr/azure/set-up-mixed-reality-azure-digital-twins-unity/index.yml,beginner,developer; business-owner; student; technology-manager,azure; azure-cloud-services; foundry-tools; azure-digital-twins; azure-iot; azure-iot-hub; azure-signalr-service; azure-functions; hololens; windows; windows-mixed-reality,mixed-reality,azure-digital-twins,azure,JBrentJ,jejacks,01/24/2024,False,Product metadata
learn.wwl.specify-requirements-secure-saas-paas-iaas-services,"Specify requirements for securing SaaS, PaaS, and IaaS services",https://learn.microsoft.com/training/modules/specify-requirements-securing-saas-paas-iaas-services/,learn-pr/wwl-sci/specify-requirements-securing-saas-paas-iaas-services/index.yml,advanced,security-engineer; solution-architect,azure; defender-for-cloud; defender-for-cloud-apps; defender-identity; microsoft-foundry,security; cloud-security,security,wwl-sci,ceperezb,ceperezb,06/04/2026,False,Product metadata; Content mention
learn.streamline-nonprofit-program-management-with-microsoft-copilot,Streamline nonprofit program management with Microsoft Copilot,https://learn.microsoft.com/training/modules/streamline-nonprofit-program-management-with-microsoft-copilot/,learn-pr/philanthropies/streamline-nonprofit-program-management-with-microsoft-copilot/index.yml,beginner,functional-consultant; higher-ed-educator; school-leader; k-12-educator; business-user; business-owner,foundry-tools; m365-apps; ms-copilot,artificial-intelligence; business-applications,artificial-intelligence,philanthropies,CourtneyHMicrosoft,anruss,01/14/2025,False,Product metadata
learn.philanthropies.streamline-training-plans-with-ai-tools,Streamline training plans with AI tools,https://learn.microsoft.com/training/modules/streamline-training-plans-with-ai-tools/,learn-pr/philanthropies/streamline-training-plans-with-ai-tools/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
learn.wwl.summarize-data-azure-ai-services-azure-database-postgresql,Summarize data with Foundry Tools and Azure database for PostgreSQL,https://learn.microsoft.com/training/modules/summarize-data-azure-ai-services-azure-database-postgresql/,learn-pr/wwl-data-ai/summarize-data-azure-ai-services-azure-database-postgresql/index.yml,intermediate,developer,azure-database-postgresql; foundry-tools,artificial-intelligence; databases,azure-database-postgresql,wwl-data-ai,wwlpublish,calopez,11/24/2024,False,Product metadata
learn.wwl.support-multilingual-accessible-family-communication,Support multilingual and accessible family communication,https://learn.microsoft.com/training/modules/support-multilingual-accessible-family-communication/,learn-pr/cela-accessibility/support-multilingual-accessible-family-communication/index.yml,beginner,k-12-educator; school-leader,m365; microsoft-365-copilot; office-teams; office-powerpoint; office-word,artificial-intelligence; generative-ai,azure-translator-foundry-tools,cela-accessibility,Randall-Knapp,erzelman,1/9/2026,False,Service metadata
learn.philanthropies.introduction-to-ai-for-trainers,Tailoring trainings with AI,https://learn.microsoft.com/training/modules/tailoring-trainings-with-ai/,learn-pr/philanthropies/tailoring-trainings-with-ai/index.yml,beginner,k-12-educator; higher-ed-educator; business-user; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,05/28/2025,False,Product metadata
learn.philanthropies.training-with-ai-tools,Training with AI tools,https://learn.microsoft.com/training/modules/training-with-ai-tools/,learn-pr/philanthropies/training-with-ai-tools/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
learn.wwl.translate-text-speech,Translate text and speech with Microsoft Foundry Tools,https://learn.microsoft.com/training/modules/translate-text-speech/,learn-pr/wwl-data-ai/translate-text-speech/index.yml,intermediate,ai-engineer; developer,microsoft-foundry; foundry-tools,artificial-intelligence,foundry-tools,wwl-data-ai,GraemeMalcolm,gmalc,3/13/2026,False,Product metadata; Service metadata; Content mention
learn.wwl.translate-text-azure-ai-translator-azure-database-postgresql,Translate Text with Azure Translator and Azure Database for PostgreSQL,https://learn.microsoft.com/training/modules/translate-text-azure-ai-translator-azure-database-postgresql/,learn-pr/wwl-data-ai/translate-text-azure-ai-translator-azure-database-postgresql/index.yml,intermediate,developer,azure-database-postgresql; foundry-tools,artificial-intelligence; databases,azure-database-postgresql,wwl-data-ai,wwlpublish,calopez,11/24/2024,False,Product metadata
learn.wwl.understand-azure-databricks-integrations,Understand Azure Databricks Integrations,https://learn.microsoft.com/training/modules/understand-azure-databricks-integrations/,learn-pr/wwl-databricks/understand-azure-databricks-integrations/index.yml,intermediate,data-engineer,azure-databricks,data-engineering,azure-databricks,wwl-databricks,weslbo,wedebols,05/11/2026,False,Content mention
learn.wwl.defender-for-cloud-ai-understand-protections,Understand how Microsoft Defender for Cloud supports AI security and governance in Azure,https://learn.microsoft.com/training/modules/defender-for-cloud-ai-understand-protections/,learn-pr/wwl-sci/defender-for-cloud-ai-understand-protections/index.yml,intermediate,security-engineer,azure; microsoft-foundry; defender-for-cloud; entra-id,cloud-security,microsoft-defender,wwl-sci,wwlpublish,riswinto,10/13/2025,False,Product metadata; Content mention
learn.ai-agent-cost-structure,Understand the key cost drivers of AI agents,https://learn.microsoft.com/training/modules/ai-agent-cost-structure/,learn-pr/advocates/ai-agent-cost-structure/index.yml,intermediate,developer,microsoft-foundry; foundry-tools; azure-openai; ms-copilot,artificial-intelligence,artificial-intelligence,advocates,Orin-Thomas,orthomas,10/01/2025,False,Product metadata; Content mention
learn.wwl.responsible-ai-content-safety,Use AI responsibly with Microsoft Foundry Content Safety,https://learn.microsoft.com/training/modules/responsible-content-safety/,learn-pr/wwl-data-ai/responsible-content-safety/index.yml,intermediate,ai-engineer; developer; solution-architect; student,foundry-tools,cloud-computing; data-management,artificial-intelligence,wwl-data-ai,ivorb,berryivor,07/07/2026,False,Product metadata; Content mention
learn.philanthropies.use-ai-tools-to-create-inclusive-learning-environment,Use AI tools to create an inclusive learning environment,https://learn.microsoft.com/training/modules/use-ai-tools-to-create-inclusive-learning-environment/,learn-pr/philanthropies/use-ai-tools-to-create-inclusive-learning-environment/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
learn.philanthropies.ai-powered-tools-for-teaching,Use AI-powered tools for training,https://learn.microsoft.com/training/modules/ai-powered-tools-for-teaching/,learn-pr/philanthropies/ai-powered-tools-for-teaching/index.yml,beginner,k-12-educator; higher-ed-educator; business-user; data-engineer; school-leader,foundry-tools; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
learn.philanthropies.use-copilot-to-create-training-materials,Use Microsoft Copilot to create training materials,https://learn.microsoft.com/training/modules/use-copilot-to-create-training-materials/,learn-pr/philanthropies/use-copilot-to-create-training-materials/index.yml,beginner,k-12-educator; business-user; higher-ed-educator; data-engineer; school-leader,foundry-tools; azure-machine-learning; azure-machine-learning-designer; m365-apps; azure-translator-text; azure-translator-speech; ms-copilot; language-service,artificial-intelligence,artificial-intelligence,philanthropies,yoosunee,anruss,01/14/2025,False,Product metadata
